 date ,balance
 0.001 ,1
 0.001 ,1
 0.002 ,1
 0.002 ,1
 0.003 ,1
 0.003 ,1
 0.004 ,1
 0.004 ,1
 0.005 ,1
 0.005 ,1
 0.006 ,1
 0.007 ,1
 0.007 ,1
 0.008 ,1
 0.008 ,1
 0.009 ,1
 0.009 ,1
 0.010 ,1
 0.010 ,1
 0.011 ,1
 0.011 ,1
 0.012 ,1
 0.013 ,1
 0.013 ,1
 0.014 ,1
 0.014 ,1
 0.015 ,1
 0.015 ,1
 0.016 ,1
 0.016 ,1
 0.017 ,1
 0.018 ,1
 0.018 ,1
 0.019 ,1
 0.019 ,1
 0.020 ,1
 0.020 ,1
 0.021 ,1
 0.021 ,1
 0.022 ,1
 0.022 ,1
 0.023 ,1
 0.024 ,1
 0.024 ,1
 0.025 ,1
 0.025 ,1
 0.026 ,1
 0.026 ,1
 0.027 ,1
 0.027 ,1
 0.028 ,1
 0.028 ,1
 0.029 ,1
 0.030 ,1
 0.030 ,1
 0.031 ,1
 0.031 ,1
 0.032 ,1
 0.032 ,1
 0.033 ,1
 0.033 ,1
 0.034 ,1
 0.034 ,1
 0.035 ,1
 0.036 ,1
 0.036 ,1
 0.037 ,1
 0.037 ,1
 0.038 ,1
 0.038 ,1
 0.039 ,1
 0.039 ,1
 0.040 ,1
 0.041 ,1
 0.041 ,1
 0.042 ,1
 0.042 ,1
 0.043 ,1
 0.043 ,1
 0.044 ,1
 0.044 ,1
 0.045 ,1
 0.045 ,1
 0.046 ,1
 0.047 ,1
 0.047 ,1
 0.048 ,1
 0.048 ,1
 0.049 ,1
 0.049 ,1
 0.050 ,1
 0.050 ,1
 0.051 ,1
 0.051 ,1
 0.052 ,1
 0.053 ,1
 0.053 ,1
 0.054 ,1
 0.054 ,1
 0.055 ,1
 0.055 ,1
 0.056 ,1
 0.056 ,1
 0.057 ,1
 0.057 ,1
 0.058 ,1
 0.059 ,1
 0.059 ,1
 0.060 ,1
 0.060 ,1
 0.061 ,1
 0.061 ,1
 0.062 ,1
 0.062 ,1
 0.063 ,1
 0.063 ,1
 0.064 ,1
 0.065 ,1
 0.065 ,1
 0.066 ,1
 0.066 ,1
 0.067 ,1
 0.067 ,1
 0.068 ,1
 0.068 ,1
 0.069 ,1
 0.070 ,1
 0.070 ,1
 0.071 ,1
 0.071 ,1
 0.072 ,1
 0.072 ,1
 0.073 ,1
 0.073 ,1
 0.074 ,1
 0.074 ,1
 0.075 ,1
 0.076 ,1
 0.076 ,1
 0.077 ,1
 0.077 ,1
 0.078 ,1
 0.078 ,1
 0.079 ,1
 0.079 ,1
 0.080 ,1
 0.080 ,1
 0.081 ,1
 0.082 ,1
 0.082 ,1
 0.083 ,1
 0.083 ,1
 0.084 ,1
 0.084 ,1
 0.085 ,1
 0.085 ,1
 0.086 ,1
 0.086 ,1
 0.087 ,1
 0.088 ,1
 0.088 ,1
 0.089 ,1
 0.089 ,1
 0.090 ,1
 0.090 ,1
 0.091 ,1
 0.091 ,1
 0.092 ,1
 0.093 ,1
 0.093 ,1
 0.094 ,1
 0.094 ,1
 0.095 ,1
 0.095 ,1
 0.096 ,1
 0.096 ,1
 0.097 ,1
 0.097 ,1
 0.098 ,1
 0.099 ,1
 0.099 ,1
 0.100 ,1
 0.100 ,1
 0.101 ,1
 0.101 ,1
 0.102 ,1
 0.102 ,1
 0.103 ,1
 0.103 ,1
 0.104 ,1
 0.105 ,1
 0.105 ,1
 0.106 ,1
 0.106 ,1
 0.107 ,1
 0.107 ,1
 0.108 ,1
 0.108 ,1
 0.109 ,1
 0.109 ,1
 0.110 ,1
 0.111 ,1
 0.111 ,1
 0.112 ,1
 0.112 ,1
 0.113 ,1
 0.113 ,1
 0.114 ,1
 0.114 ,1
 0.115 ,1
 0.115 ,1
 0.116 ,1
 0.117 ,1
 0.117 ,1
 0.118 ,1
 0.118 ,1
 0.119 ,1
 0.119 ,1
 0.120 ,1
 0.120 ,1
 0.121 ,1
 0.122 ,1
 0.122 ,1
 0.123 ,1
 0.123 ,1
 0.124 ,1
 0.124 ,1
 0.125 ,1
 0.125 ,1
 0.126 ,1
 0.126 ,1
 0.127 ,1
 0.128 ,1
 0.128 ,1
 0.129 ,1
 0.129 ,1
 0.130 ,1
 0.130 ,1
 0.131 ,1
 0.131 ,1
